"lat","long","x","y","FID"
-16.502286,-56.746863,-56.746863,-16.502286,0
-3.748023,-57.486673,-57.486673,-3.748023,0
-3.393259,-57.707219,-57.707219,-3.393259,0
-10.066111,-59.511111,-59.511111,-10.066111,0
-10.055556,-59.509722,-59.509722,-10.055556,0
-5.961111,-55.047778,-55.047778,-5.961111,0
-6.087222,-55.093611,-55.093611,-6.087222,0
-5.958333,-55.043611,-55.043611,-5.958333,0
-6.083611,-55.079444,-55.079444,-6.083611,0
-6.013889,-55.068333,-55.068333,-6.013889,0
-6.056389,-55.076389,-55.076389,-6.056389,0
-5.954444,-55.042778,-55.042778,-5.954444,0
-6.087778,-55.093889,-55.093889,-6.087778,0
3.408333,-61.598055,-61.598055,3.408333,0
-1.657682,-61.662953,-61.662953,-1.657682,0
-1.664929,-61.716893,-61.716893,-1.664929,0
-1.665892,-61.717984,-61.717984,-1.665892,0
-9.169722,-69.264444,-69.264444,-9.169722,0
-9.293672,-69.445678,-69.445678,-9.293672,0
-2.776252,-55.032615,-55.032615,-2.776252,0
-2.967222,-42.384444,-42.384444,-2.967222,0
-7.74,-46.98,-46.98,-7.74,0
-4.59,-43.875,-43.875,-4.59,0
-4.545,-43.83,-43.83,-4.545,0
-8.82,-46.62,-46.62,-8.82,0
-4.68,-43.74,-43.74,-4.68,0
-4.32,-44.28,-44.28,-4.32,0
-4.86,-43.92,-43.92,-4.86,0
-7.28,-46.976389,-46.976389,-7.28,0
-1.749167,-55.883056,-55.883056,-1.749167,0
-4.455,-43.56,-43.56,-4.455,0
-4.815,-43.02,-43.02,-4.815,0
-4.32,-44.1,-44.1,-4.32,0
-3.96,-43.92,-43.92,-3.96,0
-4.5,-44.28,-44.28,-4.5,0
-7.98,-46.976389,-46.976389,-7.98,0
-3.78,-43.56,-43.56,-3.78,0
-4.14,-43.56,-43.56,-4.14,0
-3.96,-43.2,-43.2,-3.96,0
-4.14,-43.74,-43.74,-4.14,0
-6.48,-45.18,-45.18,-6.48,0
-3.96,-44.1,-44.1,-3.96,0
