"lat","long","x","y"
-12.06,-64.26,-64.26,-12.06
-12.42,-61.92,-61.92,-12.42
3.1358,-60.8433,-60.8433,3.1358
3.2208,-60.8262,-60.8262,3.2208
3.1093,-60.8872,-60.8872,3.1093
3.1228,-60.8538,-60.8538,3.1228
3.0363,-60.8635,-60.8635,3.0363
3.01,-60.8848,-60.8848,3.01
3.0887,-60.9235,-60.9235,3.0887
-3.098511,-61.132717,-61.132717,-3.098511
-1.353889,-62.058889,-62.058889,-1.353889
-1.354444,-62.059167,-62.059167,-1.354444
-9.851944,-58.220278,-58.220278,-9.851944
-9.871194,-58.220422,-58.220422,-9.871194
-11.862222,-55.478889,-55.478889,-11.862222
-7.949564,-61.595342,-61.595342,-7.949564
-16.643925,-56.33943,-56.33943,-16.643925
-14.488471,-55.686197,-55.686197,-14.488471
-2.816556,-44.932722,-44.932722,-2.816556
-15.630556,-57.196889,-57.196889,-15.630556
-16.562861,-57.556167,-57.556167,-16.562861
-10.824444,-55.697778,-55.697778,-10.824444
-3.284167,-51.772222,-51.772222,-3.284167
-1.057278,-46.785222,-46.785222,-1.057278
-16.100278,-57.688889,-57.688889,-16.100278
-16.077161,-57.652578,-57.652578,-16.077161
-9.899722,-62.28,-62.28,-9.899722
-7.679553,-62.595189,-62.595189,-7.679553
-10.26,-62.64,-62.64,-10.26
-2.443333,-54.708056,-54.708056,-2.443333
-9.72,-61.92,-61.92,-9.72
-14.405833,-59.425,-59.425,-14.405833
-14.728333,-59.930278,-59.930278,-14.728333
-15.414167,-55.839944,-55.839944,-15.414167
3.0973,-60.8257,-60.8257,3.0973
-9.159167,-45.981111,-45.981111,-9.159167
-16.465103,-54.578378,-54.578378,-16.465103
-3.351111,-51.960556,-51.960556,-3.351111
-9.741542,-56.009674,-56.009674,-9.741542
-1.884722,-48.765278,-48.765278,-1.884722
-3.1775,-51.775,-51.775,-3.1775
-16.555056,-57.558278,-57.558278,-16.555056
-5.417778,-44.164722,-44.164722,-5.417778
-8.495,-63.5628,-63.5628,-8.495
3.1065,-60.8233,-60.8233,3.1065
0.686389,-61.566111,-61.566111,0.686389
1.059167,-61.746667,-61.746667,1.059167
-0.258056,-61.844722,-61.844722,-0.258056
-13.746389,-60.3625,-60.3625,-13.746389
